fold,date,actual,one_step_ridge,fixed_origin_ridge,one_step_lag7,fixed_origin_lag7
1,2025-05-01,42.89505891676698,42.8851608338794,42.8851608338794,42.081522699707044,42.081522699707044
1,2025-05-02,44.662204941882905,44.086982615858496,44.08458741302719,44.03791726553745,44.03791726553745
1,2025-05-03,42.06141670597086,42.06001435635706,41.919948405768324,41.0517230701495,41.0517230701495
1,2025-05-04,38.486093849556525,37.47200733556026,37.42258361973425,37.25018703122505,37.25018703122505
1,2025-05-05,35.54642718663963,35.41035358154804,35.250365877169386,34.498471726404944,34.498471726404944
1,2025-05-06,36.30496522314952,36.551519065040196,36.43892101751759,36.491909922452386,36.491909922452386
1,2025-05-07,40.95798173473172,39.72240980364463,39.89098856893262,39.376386623516126,39.376386623516126
1,2025-05-08,43.35589957974644,43.62737350639597,43.31650237975585,42.89505891676698,42.081522699707044
1,2025-05-09,44.730788641259274,44.991412895068855,44.6377704046767,44.662204941882905,44.03791726553745
1,2025-05-10,41.93347313074453,42.18672943646406,42.23007664204751,42.06141670597086,41.0517230701495
1,2025-05-11,37.99669542251876,38.58479107830822,38.21926514141558,38.486093849556525,37.25018703122505
1,2025-05-12,34.7793487505571,35.86626668681419,35.78504833779692,35.54642718663963,34.498471726404944
1,2025-05-13,37.03193315574848,36.95043244571826,37.12336171578779,36.30496522314952,36.491909922452386
1,2025-05-14,40.50666638174075,40.82395558703042,40.475949507509206,40.95798173473172,39.376386623516126
1,2025-05-15,43.74667363563854,44.10703362249692,43.93236387924422,43.35589957974644,42.081522699707044
1,2025-05-16,45.0652921121846,45.119851417168206,44.989424963049146,44.730788641259274,44.03791726553745
1,2025-05-17,43.237527004057874,42.66129136355271,42.78179312843649,41.93347313074453,41.0517230701495
1,2025-05-18,39.29345724514883,39.105089033033806,38.70181722767258,37.99669542251876,37.25018703122505
1,2025-05-19,37.36339897410596,36.32503783740971,36.434380776263055,34.7793487505571,34.498471726404944
1,2025-05-20,38.959160067264214,37.581559798239695,37.50650316880781,37.03193315574848,36.491909922452386
